false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.04481132075471698,1.0
0.0,0.05110062893081761,0.9999999
0.0,0.05660377358490566,0.99999976
0.0,0.05817610062893082,0.99999964
0.0,0.06289308176100629,0.9999994
0.0,0.0660377358490566,0.9999982
0.0,0.06761006289308176,0.9999981
0.0,0.07075471698113207,0.9999969
0.0,0.07547169811320754,0.9999963
0.0,0.07625786163522012,0.9999962
0.0,0.07783018867924528,0.99999547
0.0,0.08647798742138364,0.99999166
0.00014001680201624196,0.08647798742138364,0.9999907
0.00014001680201624196,0.10220125786163523,0.9999702
0.0002800336040324839,0.10220125786163523,0.99996996
0.0002800336040324839,0.13286163522012578,0.9996952
0.00042005040604872583,0.13286163522012578,0.99968743
0.00042005040604872583,0.15251572327044025,0.99926823
0.0005600672080649678,0.15251572327044025,0.9992231
0.0005600672080649678,0.21069182389937108,0.99384224
0.0007000840100812098,0.21069182389937108,0.99383944
0.0007000840100812098,0.2138364779874214,0.9925688
0.0008401008120974517,0.2138364779874214,0.9924892
0.0008401008120974517,0.21933962264150944,0.9913127
0.0009801176141136937,0.21933962264150944,0.9911963
0.0009801176141136937,0.22169811320754718,0.9910909
0.0011201344161299357,0.22169811320754718,0.99107707
0.0011201344161299357,0.22562893081761007,0.9897097
0.0012601512181461775,0.22562893081761007,0.98969156
0.0012601512181461775,0.23034591194968554,0.98815155
0.0014001680201624195,0.23034591194968554,0.9881417
0.0014001680201624195,0.2358490566037736,0.98635733
0.0015401848221786615,0.2358490566037736,0.9862576
0.0015401848221786615,0.24056603773584906,0.9850139
0.0016802016241949033,0.24056603773584906,0.98433036
0.0016802016241949033,0.24135220125786164,0.98409814
0.0018202184262111453,0.24135220125786164,0.9839474
0.0018202184262111453,0.24528301886792453,0.98290527
0.0019602352282273874,0.24528301886792453,0.98278
0.0019602352282273874,0.2468553459119497,0.98173887
0.002100252030243629,0.2468553459119497,0.98137534
0.002100252030243629,0.24764150943396226,0.9809467
0.0022402688322598714,0.24764150943396226,0.97985876
0.0022402688322598714,0.24842767295597484,0.9795679
0.002380285634276113,0.24842767295597484,0.97914565
0.002380285634276113,0.24921383647798742,0.9784712
0.002520302436292355,0.24921383647798742,0.97840834
0.002520302436292355,0.25235849056603776,0.97761226
0.002660319238308597,0.25235849056603776,0.9773999
0.002660319238308597,0.2539308176100629,0.97684073
0.002800336040324839,0.2539308176100629,0.97675085
0.002800336040324839,0.25471698113207547,0.9766159
0.002940352842341081,0.25471698113207547,0.9765055
0.002940352842341081,0.2555031446540881,0.9762389
0.003080369644357323,0.2555031446540881,0.9759665
0.003080369644357323,0.2578616352201258,0.97535986
0.003220386446373565,0.2578616352201258,0.9749272
0.003220386446373565,0.26022012578616355,0.97378135
0.0033604032483898066,0.26022012578616355,0.9734812
0.0033604032483898066,0.2665094339622642,0.9701521
0.003500420050406049,0.2665094339622642,0.9699073
0.003500420050406049,0.2696540880503145,0.96918935
0.0036404368524222907,0.2696540880503145,0.96845955
0.0036404368524222907,0.27437106918238996,0.96541226
0.0037804536544385325,0.27437106918238996,0.9642268
0.0037804536544385325,0.27672955974842767,0.9632208
0.004060487258471017,0.27672955974842767,0.9625646
0.004060487258471017,0.279874213836478,0.95988107
0.004200504060487258,0.279874213836478,0.9597202
0.004200504060487258,0.28223270440251574,0.9574772
0.004480537664519743,0.28223270440251574,0.95458525
0.004480537664519743,0.2838050314465409,0.95329416
0.004620554466535984,0.2838050314465409,0.95260346
0.004620554466535984,0.2861635220125786,0.9505202
0.004760571268552226,0.2861635220125786,0.9503417
0.004760571268552226,0.2869496855345912,0.95002156
0.004900588070568469,0.2869496855345912,0.9482182
0.004900588070568469,0.28773584905660377,0.9477747
0.00504060487258471,0.28773584905660377,0.94761735
0.00504060487258471,0.2893081761006289,0.9465799
0.005180621674600952,0.2893081761006289,0.94629616
0.005180621674600952,0.29245283018867924,0.94434965
0.005320638476617194,0.29245283018867924,0.94432586
0.005320638476617194,0.29559748427672955,0.9403691
0.005460655278633436,0.29559748427672955,0.9399031
0.005460655278633436,0.29638364779874216,0.93853146
0.005880705684682162,0.29638364779874216,0.9364229
0.005880705684682162,0.30424528301886794,0.9302311
0.006020722486698404,0.30424528301886794,0.9296582
0.006020722486698404,0.30660377358490565,0.9286629
0.006160739288714646,0.30660377358490565,0.9281546
0.006160739288714646,0.3168238993710692,0.9200302
0.0063007560907308875,0.3168238993710692,0.9200213
0.0063007560907308875,0.3199685534591195,0.9172478
0.006580789694763372,0.3199685534591195,0.91696125
0.006580789694763372,0.32154088050314467,0.9156225
0.006720806496779613,0.32154088050314467,0.91549796
0.006720806496779613,0.3231132075471698,0.91383314
0.0068608232987958555,0.3231132075471698,0.91353416
0.0068608232987958555,0.3238993710691824,0.91332096
0.007000840100812098,0.3238993710691824,0.9132927
