Linear Regression,Random Forest,Gradient Boosting,XGBoost
0.00026249389029024683,0.0002839999999999926,0.002904188114154674,0.003180596947669978
0.05475572773445085,0.013604166666666598,0.01160856232396823,0.006845027804374695
0.014282385476438682,0.005180222222222225,0.010081987584328378,0.006661270940303804
0.035522851163226954,0.020520666666666763,0.02460959658441699,0.015818943858146667
0.004112353426015999,0.0035013333333333008,0.004580126643327784,0.01242454725503922
0.03486123405897609,0.022836666666666658,0.014916436150672632,0.010688152313232419
0.007942201293187512,0.002332000000000098,0.022718952817931105,0.013706204235553743
0.007488113470322799,0.012173666666666652,0.014742477082717295,0.017663959813117983
0.010460846881453628,0.003448777777777551,0.002865362930973711,0.0017487444281578113
0.002218679409377186,0.0007443333333332774,0.005438606070594362,0.004469075202941888
0.019050570568466506,0.019111333333333307,0.023280048154401108,0.014981678664684299
0.02561662939753097,0.004888555555555424,0.0017919910354132346,0.003479381620883945
0.008712643059109099,0.00420666666666672,0.011558360150608751,0.011312474906444547
0.022273399353563983,0.0177706666666667,0.004516606936178433,0.018905866444110866
0.00928418063275041,0.0010253333333333087,0.0028251594894391496,0.009682541310787204
0.003474120803125147,0.021087111111110876,0.01971788671153092,0.019808441432317067
0.017705162236075676,0.011099333333333246,0.007371939406943397,0.01893901187181473
0.020185044914250654,0.006719666666666686,0.004346145351819361,0.004116288465261457
0.01112823049371569,0.01338671861471865,0.015539688771336858,0.011354701870679856
0.034827256168401516,0.0131219999999998,0.008641502999154546,0.012753078043460847
0.013645139845418403,0.01035133333333317,0.00985894612488307,0.010744993329048158
0.03601030215717621,0.014115666666666832,0.013659136348419504,0.024416348338127142
0.014114253863513344,0.021770822510822588,0.020480152869173915,0.017170919382572175
0.0072984189875478014,0.011908333333333444,0.023010505842020332,0.018465565979480743
0.02894133524140225,0.014105000000000159,0.019577766338671476,0.024562819576263425
0.03586827931920997,0.024185999999999944,0.02035196685959033,0.013080332577228543
0.021599198632185887,0.018627999999999936,0.01622161514740205,0.014381097555160524
0.023772343853225665,0.00451133333333326,0.004601831533706524,0.0032055918574333195
0.014710546704056013,0.010629666666666732,0.013711041565531226,0.01873135811090469
0.051300243494807024,0.0251435555555556,0.022222801323469293,0.017319823503494258
0.004671656882361916,0.006475666666666657,0.013872879889988157,0.012008251160383218
0.018498626666878903,0.003430666666666686,0.01161273346870343,0.008498354524374009
0.002789717073142156,0.010384333333333232,0.0011044395440672344,0.0031943805813789417
0.013571679586370525,0.0029595555555554792,0.0026706030381450224,0.0013808767199516292
0.027609374597507466,0.0005653333333330984,0.0007120856828942423,0.003483447313308713
0.08575537844524188,0.08203866666666665,0.09842141974364388,0.09098617672920228
0.036568951842590534,0.013688222222222352,0.021949066910090353,0.016906445503234863
0.01378682172481982,0.005959000000000006,0.003377380540208738,0.007480372488498685
0.03680446002376588,0.02697500000000016,0.011643615537676164,0.01194774955511093
0.02074611270474755,0.00904020202020192,0.01804441649466705,0.017943416184186933
0.024436244569405838,0.0201250000000001,0.028118509055259935,0.027689878374338145
0.0276629661901856,0.019873333333333312,0.004607266018425024,0.010979635715484617
0.04654657890110121,0.02779999999999984,0.02018535898090705,0.02849157214164734
0.021358553218610153,0.005733333333333243,0.003483707208375264,0.00753805324435234
0.027463942585037128,0.020809444444444394,0.015862888852340766,0.01517528545856476
0.04253717958463342,0.024798000000000375,0.0217522875182541,0.02557185029983519
0.025474505068433975,0.027099666666666647,0.03279743261871853,0.03072014635801315
0.0002855247187232013,0.012396400793650925,0.004429333512543335,0.015436025613546372
0.0122897482707622,0.009813999999999969,0.008095811885845329,0.014379199624061582
0.0036281112634635876,0.00949333333333334,0.00697493826254951,0.009521950781345365
0.01555579236965618,0.005232999999999974,0.006749250640586166,0.008909570753574375
0.03931939309704431,0.017204666666666587,0.010960114968525152,0.013118413597345353
0.02439732778019943,0.013064666666666558,0.001511523915992366,0.006388655006885527
0.005969564517205761,0.008538666666666625,8.599236414394418e-05,0.009739231169223789
0.024887156782442483,0.008908333333333286,0.0004031555249833403,0.008144211560487748
0.017096512216749286,0.009300333333333487,0.01867234309598769,0.01934741817712784
0.05290327280774354,0.03840400000000002,0.046052499785405404,0.04440206694602966
0.010229543023895248,0.0036866666666667686,0.00015600273039020895,0.004371251672506335
0.0018335401704260637,0.0025903333333335,0.004003962583305216,0.002004355162382128
0.018214062472575357,0.00457800000000004,0.0038931957127079087,0.004679448425769811
0.002306536729410641,0.0003146666666666992,0.004248605790344417,0.006345145440101618
0.005874811138754141,0.001806000000000002,0.0020958118858453306,0.010563553392887115
0.005686669929365937,0.00900166666666688,0.0008706844197494956,0.004921509683132166
0.008591882652682147,0.0063562222222219925,0.00970934863979768,0.014864057620366383
0.011043989915166058,0.008766999999999803,0.0010240741151756466,2.121174335480147e-05
0.025902509523642266,0.005784333333333391,0.002542209103819519,0.010175525575876233
