,precision,recall,f1-score,support
Uncracked,0.9381646915831054,0.8646037524502941,0.8998834159137278,7142.0
Cracked,0.4721615720524017,0.6800314465408805,0.5573453608247423,1272.0
accuracy,0.8367007368671262,0.8367007368671262,0.8367007368671262,0.8367007368671262
macro avg,0.7051631318177536,0.7723175994955873,0.7286143883692351,8414.0
weighted avg,0.8677159195313994,0.8367007368671262,0.8480996738085234,8414.0
