Epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.1496606367627293,0.5406733903830481,1.1153984985783403,0.509270263845971
2,1.0926144766244057,0.6136409942950285,1.0457895411457845,0.6145709531732826
3,1.0516962405619041,0.6568867155664222,0.9962438752284548,0.591514143094842
4,1.0170563232053462,0.6855898533007335,0.9632589746773994,0.6444021868314713
5,0.9849038017213879,0.7211440505297474,0.9009942480807693,0.7775136676966959
6,0.9571309400556918,0.7429706601466992,0.9182873178412463,0.8473971951509389
7,0.9392591981063942,0.7645935207823961,0.8812396696635655,0.7937960541953887
8,0.9248529655134765,0.7687958435207825,0.8734059762311486,0.8395531257428096
9,0.9125470150362308,0.7798237571312143,0.8392012526693156,0.7724031376277632
10,0.8971253312401589,0.7862927872860636,0.8381646766298764,0.838126931304968
11,0.8878814313308728,0.7910554197229014,0.8419237621101994,0.7467316377466128
12,0.8830122358447279,0.7932711898940505,0.8289073592896186,0.8565486094604231
13,0.8814514052022641,0.7960982070089649,0.855208901149631,0.8829332065604945
14,0.86887303886126,0.800351466992665,0.8374884727592278,0.7710957927264084
15,0.8607665646241366,0.8056998777506112,0.8859430299622445,0.7159496077965296
16,0.8575868189286292,0.8049612876935616,0.7816648266718964,0.8189921559305918
17,0.8448492056874599,0.8119906275468622,0.7728277717714557,0.8406227715711909
18,0.8417958812492109,0.8110228198859005,0.7808504065298144,0.8346802947468505
19,0.8418350875037612,0.811150162999185,0.77428587113618,0.8513192298550035
20,0.8334621070066699,0.8152251426242869,0.8266733759849917,0.7297361540289993
