Feature,Random Forest,Gradient Boosting,XGBoost
d (mm),0.13617845223908073,0.12546230142692555,0.15273416
S (mm),0.09353862589846897,0.11013697030040838,0.13172945
bw (mm),0.13510946207466076,0.17227871644669396,0.25297102
a0 (mm),0.16159754970488222,0.12364345929023401,0.116180606
ft (MPa),0.321375359909517,0.32075770891551125,0.18969928
E (GPa),0.15220055017339046,0.14772084362022697,0.15668544
