recall,precision
1.0,0.1511766104112194
1.0,0.15119457981694995
1.0,0.15121255349500715
1.0,0.15123053144691476
1.0,0.1512485136741974
1.0,0.1512665001783803
1.0,0.15128449096098953
1.0,0.1513024860235518
1.0,0.15132048536759457
1.0,0.15133848899464605
1.0,0.15135649690623512
1.0,0.15137450910389147
1.0,0.15139252558914545
1.0,0.15141054636352816
1.0,0.15142857142857144
1.0,0.15144660078580782
1.0,0.15146463443677066
1.0,0.15148267238299393
1.0,0.1515007146260124
1.0,0.15151876116736152
1.0,0.15153681200857755
1.0,0.15155486715119743
1.0,0.1515729265967588
1.0,0.15159099034680015
1.0,0.15160905840286054
1.0,0.1516271307664799
1.0,0.15164520743919885
1.0,0.15166328842255872
1.0,0.1516813737181016
1.0,0.1516994633273703
1.0,0.15171755725190839
1.0,0.15173565549326018
1.0,0.15175375805297064
1.0,0.1517718649325856
1.0,0.15178997613365156
1.0,0.15180809165771572
1.0,0.15182621150632608
0.9992138364779874,0.15172496120329473
0.9992138364779874,0.15174307545367718
0.9992138364779874,0.15176119402985075
0.9992138364779874,0.1517793169333652
0.9992138364779874,0.15179744416577093
0.9992138364779874,0.1518155757286192
0.9992138364779874,0.15183371162346196
0.9992138364779874,0.15185185185185185
0.9992138364779874,0.15186999641534232
0.9992138364779874,0.15188814531548758
0.9992138364779874,0.15190629855384247
0.9992138364779874,0.1519244561319627
0.9992138364779874,0.15194261805140466
0.9992138364779874,0.15196078431372548
0.9992138364779874,0.15197895492048308
0.9992138364779874,0.15199712987323608
0.9992138364779874,0.15201530917354383
0.9992138364779874,0.15203349282296652
0.9992138364779874,0.15205168082306497
0.9992138364779874,0.15206987317540083
0.9992138364779874,0.15208806988153645
0.9992138364779874,0.15210627094303494
0.9992138364779874,0.1521244763614602
0.9992138364779874,0.15214268613837684
0.9992138364779874,0.15216090027535017
0.9992138364779874,0.15217911877394635
0.9992138364779874,0.15219734163573226
0.9992138364779874,0.15221556886227544
0.9992138364779874,0.15223380045514434
0.9992138364779874,0.152252036415908
0.9984276729559748,0.15215047322391279
0.9984276729559748,0.15216870357057272
0.9984276729559748,0.15218693828639904
0.9984276729559748,0.1522051773729626
0.9984276729559748,0.15222342083183507
0.9984276729559748,0.15224166866458883
0.9984276729559748,0.15225992087279702
0.9984276729559748,0.15227817745803357
0.9984276729559748,0.15229643842187313
0.9984276729559748,0.1523147037658911
0.9984276729559748,0.15233297349166366
0.9984276729559748,0.15235124760076776
0.9984276729559748,0.15236952609478105
0.9984276729559748,0.15238780897528198
0.9984276729559748,0.15240609624384976
0.9984276729559748,0.15242438790206433
0.9984276729559748,0.15244268395150642
0.9984276729559748,0.1524609843937575
0.9984276729559748,0.1524792892303998
0.9984276729559748,0.15249759846301633
0.9984276729559748,0.15251591209319082
0.9984276729559748,0.1525342301225078
0.9984276729559748,0.15255255255255254
0.9984276729559748,0.1525708793849111
0.9984276729559748,0.15258921062117026
0.9984276729559748,0.15260754626291756
0.9984276729559748,0.15262588631174137
0.9984276729559748,0.15264423076923078
0.9984276729559748,0.1526625796369756
0.9984276729559748,0.15268093291656648
0.9984276729559748,0.1526992906095948
0.9984276729559748,0.15271765271765272
0.9984276729559748,0.15273601924233313
0.9984276729559748,0.15275439018522974
0.9984276729559748,0.15277276554793698
0.9984276729559748,0.15279114533205004
0.9984276729559748,0.15280952953916496
0.9984276729559748,0.15282791817087846
0.9984276729559748,0.15284631122878806
0.9984276729559748,0.15286470871449206
0.9984276729559748,0.1528831106295895
0.9984276729559748,0.15290151697568022
0.9984276729559748,0.15291992775436483
0.9984276729559748,0.1529383429672447
0.9984276729559748,0.15295676261592195
0.9984276729559748,0.15297518670199953
0.9984276729559748,0.15299361522708108
0.9984276729559748,0.1530120481927711
0.9984276729559748,0.15303048560067478
0.9984276729559748,0.15304892745239818
0.9984276729559748,0.15306737374954804
0.9984276729559748,0.15308582449373193
0.9984276729559748,0.15310427968655818
0.9984276729559748,0.15312273932963588
0.9984276729559748,0.15314120342457493
0.9984276729559748,0.15315967197298602
0.9984276729559748,0.15317814497648052
0.9984276729559748,0.15319662243667068
0.9984276729559748,0.1532151043551695
0.9984276729559748,0.15323359073359075
0.9984276729559748,0.15325208157354894
0.9984276729559748,0.15327057687665943
0.9984276729559748,0.15328907664453834
0.9984276729559748,0.1533075808788025
0.9984276729559748,0.15332608958106966
0.9984276729559748,0.15334460275295822
0.9984276729559748,0.15336312039608743
0.9984276729559748,0.15338164251207728
0.9984276729559748,0.1534001691025486
0.9984276729559748,0.15341870016912298
0.9984276729559748,0.15343723571342274
0.9984276729559748,0.15345577573707106
0.9984276729559748,0.15347432024169183
0.9984276729559748,0.15349286922890984
0.9984276729559748,0.15351142270035054
0.9984276729559748,0.15352998065764023
0.9984276729559748,0.153548543102406
0.9984276729559748,0.15356711003627568
0.9984276729559748,0.15358568146087798
0.9984276729559748,0.15360425737784228
0.9984276729559748,0.15362283778879884
0.9984276729559748,0.15364142269537867
0.9984276729559748,0.15366001209921354
0.9984276729559748,0.1536786060019361
0.9984276729559748,0.15369720440517973
0.9984276729559748,0.15371580731057854
0.9984276729559748,0.1537344147197676
0.9984276729559748,0.15375302663438256
0.9984276729559748,0.15377164305606006
0.9984276729559748,0.1537902639864374
0.9984276729559748,0.1538088894271527
0.9984276729559748,0.15382751937984496
0.9984276729559748,0.15384615384615385
0.9984276729559748,0.1538647928277199
0.9984276729559748,0.15388343632618443
0.9984276729559748,0.15390208434318953
0.9984276729559748,0.15392073688037813
0.9984276729559748,0.15393939393939393
0.9984276729559748,0.15395805552188144
0.9984276729559748,0.15397672162948595
0.9984276729559748,0.15399539226385353
0.9984276729559748,0.1540140674266311
0.9984276729559748,0.15403274711946635
0.9984276729559748,0.15405143134400776
0.9984276729559748,0.15407012010190466
0.9984276729559748,0.1540888133948071
0.9984276729559748,0.15410751122436597
0.9984276729559748,0.154126213592233
0.9984276729559748,0.15414492050006068
0.9984276729559748,0.1541636319495023
0.9984276729559748,0.15418234794221197
0.9984276729559748,0.15420106847984458
0.9984276729559748,0.15421979356405585
0.9984276729559748,0.1542385231965023
0.9984276729559748,0.15425725737884124
0.9984276729559748,0.1542759961127308
0.9984276729559748,0.1542947393998299
0.9984276729559748,0.1543134872417983
0.9984276729559748,0.15433223964029652
0.9984276729559748,0.1543509965969859
0.9984276729559748,0.15436975811352863
0.9984276729559748,0.15438852419158766
0.9984276729559748,0.15440729483282675
0.9984276729559748,0.1544260700389105
0.9984276729559748,0.1544448498115043
0.9984276729559748,0.15446363415227438
0.9984276729559748,0.15448242306288773
0.9984276729559748,0.15450121654501217
0.9984276729559748,0.15452001460031634
