Model,CV_R2,CV_RMSE,CV_MAE,Test_R2,Test_RMSE,Test_MAE
Linear Regression,0.07709373892862734,0.02614746328913059,0.0210041869281844,0.12454028341895629,0.025899232096187892,0.020510952811727483
Random Forest,0.43827656791945424,0.020435906705994263,0.0146662760568572,0.6047927570071172,0.017401282260634716,0.01265743399908172
Gradient Boosting,0.3802054208715294,0.021482200468020157,0.01575727787418006,0.5395616264491649,0.018782550255571434,0.01243100514095214
XGBoost,0.42561594163302124,0.02070187666836773,0.015491519236366602,0.5491627753866409,0.018585689943718498,0.013756780786917664
