epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou
1,1.0545734620224227,0.9697494066279867,0.2228469933518456,0.265984577410247,0.1701578956620916,0.18580297583147234
2,0.9135618700318505,0.801136152251907,0.3240431735155043,0.39553819175647653,0.22843720349775024,0.2869835896012576
3,0.7338672658727994,0.636675423902014,0.47269140415360555,0.5445137432088023,0.35583716854250075,0.4215599509037059
4,0.5931990874235896,0.602082538863887,0.590990333774759,0.5778662964053776,0.4704776727048838,0.4608147040657375
5,0.5361534037934337,0.5107624171220738,0.6295453836222761,0.6378216856847638,0.5087206963784688,0.5181853959093923
6,0.496735305974529,0.5052519690083421,0.653548065339512,0.6447392562809198,0.5335084630293158,0.5258936085130858
7,0.4711102195266807,0.4773484523529592,0.6692303373638225,0.6594437376960464,0.5492230639145874,0.5380337976891062
8,0.45782887951879475,0.48140189537535544,0.6758157065194049,0.6557761936084084,0.5564609864264808,0.5347085452598074
9,0.4532586639843455,0.48754254113072937,0.680692018540094,0.6423815258819124,0.5613407823955006,0.521005784039912
10,0.4299102712229747,0.4508624603242978,0.6933691586882932,0.6763111582916715,0.5745599230076377,0.5588422660594401
11,0.4298997490542461,0.4289136890160001,0.6958463852996722,0.6951920331820197,0.5773490982419464,0.5765579278054445
12,0.41529163166027955,0.42406271446658217,0.7048028660405234,0.6980702119029086,0.5867313753194315,0.5802448994439581
13,0.4045723748142128,0.41872818994781247,0.7112041198590147,0.7029759423888248,0.5935063332075644,0.5848890526787095
14,0.4119447398250694,0.4225685748717059,0.7089462255911866,0.6983849603844725,0.5912186449814882,0.5798437737900278
15,0.3893762252798522,0.4107837634889976,0.7209358571010974,0.7049472455097281,0.6037801363650069,0.5863823242809462
16,0.40853020812737517,0.40896085341987404,0.7073168977079989,0.7060743162165517,0.589353748904262,0.5887680209201315
17,0.40436183289708494,0.41741560172775516,0.712912244595364,0.6975794201311858,0.595923192575777,0.5802096449162649
18,0.38448393011937676,0.39944364405844524,0.7259708264543185,0.7099624930516534,0.6101003511725069,0.5940064049285391
19,0.36571351436730626,0.38517931881158246,0.7379461366084356,0.7214837054843488,0.622697171219688,0.6060588991512423
20,0.3661782663589602,0.3947402935313142,0.7367754786475803,0.7170487752427226,0.6214030916099652,0.599397811876691
